87	4177.0092	
114	4146.553153	
166	4131.329722	
181	4131.329722	
205	4131.329722	
237	4131.171479	
256	4130.327764	
272	4103.447201	
277	4069.175466	
292	4064.32865	
313	4064.32865	
346	4054.833773	
393	4054.833773	
432	4054.816664	
484	4054.816664	
554	4054.816664	
593	4054.816664	
611	4054.386676	
641	4054.386676	
685	4047.239778	
701	4045.904433	
743	4043.724975	
790	4043.724975	
797	4043.724975	
976	4043.724975	
1027	4043.724975	
1050	4043.275562	
1118	4033.839418	
1156	4033.839418	
1169	4032.866462	
1206	4014.291973	
1323	4014.291973	
1358	4014.291973	
1418	4014.291973	
1424	4014.291973	
1436	4014.181847	
1464	4008.757341	
1960	4008.757341	
2093	4008.56251	
2338	4008.56251	
2354	4008.56251	
2518	4008.56251	
2550	4008.56251	
2644	4008.56251	
2856	4008.56251	
3065	4008.56251	
3122	4008.56251	
3538	3996.186499	
3706	3995.288899	
3960	3995.288899	
4362	3995.288899	
5172	3995.288899	
5190	3994.953926	
5240	3994.953926	
5271	3993.33594	
5296	3993.33594	
5302	3993.33594	
5473	3992.568768	
5601	3992.568768	
5789	3991.522771	
5884	3991.522771	
6059	3988.527261	
6104	3988.46954	
6222	3988.46954	
6230	3987.660393	
6330	3987.481794	
6579	3984.788657	
6594	3978.215322	
6793	3978.215322	
6866	3978.215322	
7018	3978.215322	
7021	3975.514279	
7061	3974.299976	
7274	3972.777338	
7403	3972.777338	
7711	3972.777338	
7847	3970.803784	
8819	3970.651849	
8985	3970.651849	
9313	3970.651849	
9386	3970.53723	
9478	3970.474252	
times:	57.5	s
time:	3s	
